,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Cédric Alves Soares,1,Fulham,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bernd Leno,2,Fulham,GK,45,90,0,0,0,3,0,0,0,0,0,4,0,17,31.4,0.0,0.0,3.1,1,0.00,0.00,0.00,2.38,2,False
Granit Xhaka,3,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,15,12.0,15.7,23.0,5.1,1,0.13,0.06,0.19,0.84,3,False
Mohamed Elneny,4,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rob Holding,5,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thomas Partey,6,Arsenal,MID,50,90,0,0,1,0,0,0,0,0,0,0,0,21,23.8,7.1,0.0,3.1,1,0.00,0.02,0.02,0.84,3,False
Martin Ødegaard,7,Arsenal,MID,65,90,1,0,1,0,0,0,0,1,0,0,0,25,42.8,29.6,23.0,9.5,1,0.45,0.18,0.63,0.84,7,False
Kieran Tierney,8,Arsenal,DEF,50,18,0,0,0,0,0,0,0,0,0,0,0,6,5.2,0.8,0.0,0.6,0,0.00,0.00,0.00,0.21,1,False
Nicolas Pépé,9,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Benjamin White,10,Arsenal,DEF,45,79,0,0,1,0,0,0,0,0,0,0,0,27,8.8,17.0,0.0,2.6,1,0.00,0.14,0.14,0.72,6,False
Eddie Nketiah,11,Arsenal,FWD,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Emile Smith Rowe,12,Arsenal,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Bukayo Saka,13,Arsenal,MID,80,71,0,0,1,0,0,0,0,0,0,0,0,6,7.0,18.8,14.0,4.0,1,0.00,0.15,0.15,0.62,3,False
Takehiro Tomiyasu,14,Arsenal,DEF,45,10,0,0,0,0,0,0,0,0,0,0,0,5,7.0,0.1,0.0,0.7,0,0.00,0.00,0.00,0.11,1,False
Aaron Ramsdale,15,Arsenal,GK,50,90,0,0,1,0,0,0,0,0,0,2,0,24,15.0,0.0,0.0,1.5,1,0.00,0.00,0.00,0.84,6,False
Gabriel dos Santos Magalhães,16,Arsenal,DEF,50,90,1,0,1,0,0,0,0,0,0,0,2,38,48.2,0.7,33.0,8.2,1,0.30,0.00,0.30,0.84,14,True
Nuno Varela Tavares,17,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Albert Sambi Lokonga,18,Crystal Palace,MID,45,180,0,0,0,2,0,0,0,0,0,0,0,23,26.8,7.7,0.0,3.5,2,0.00,0.03,0.03,2.74,4,False
Gabriel Martinelli Silva,19,Arsenal,MID,60,76,1,0,1,0,0,0,0,0,0,0,0,21,38.4,12.6,80.0,13.1,1,1.04,0.11,1.15,0.72,8,False
Pablo Marí Villar,20,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ainsley Maitland-Niles,21,Southampton,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Lucas Torreira di Pascua,22,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Reiss Nelson,23,Arsenal,MID,50,18,0,0,0,0,0,0,0,0,0,0,0,5,7.2,11.8,6.0,2.5,0,0.03,0.05,0.08,0.21,1,False
